                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3288,                 2.9399,                 1.1669,                0.49218,                 0.4568,                 0.2562,                0.11908,                 1.8321,                  1.743,                 1.0221,             0.00041319,             0.00041319,             0.00041319
                      2,                 1.8956,                 1.7209,                 1.0194,                  0.739,                0.39965,                0.34171,                0.15537,                 1.8383,                 1.5609,                 1.0433,             0.00081343,             0.00081343,             0.00081343
                      3,                  1.847,                  1.543,                 1.0072,                0.79977,                0.37593,                0.38176,                0.18489,                 1.7442,                 1.4421,                 1.0118,              0.0011972,              0.0011972,              0.0011972
                      4,                 1.7896,                 1.4547,                 1.0138,                0.83982,                0.39161,                0.42806,                0.20936,                  1.727,                 1.3338,                 1.0045,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.7373,                 1.3761,                0.99692,                0.85677,                 0.3984,                 0.4405,                0.22995,                 1.6054,                 1.2776,                0.97691,               0.001151,               0.001151,               0.001151
                      6,                 1.6943,                 1.3109,                 0.9886,                0.85963,                0.41225,                0.44765,                0.24223,                 1.5412,                 1.2044,                0.95946,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.7064,                 1.2952,                0.99396,                 0.8661,                0.40535,                0.44733,                0.22958,                 1.5935,                 1.2143,                0.96687,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.6571,                 1.2372,                0.97814,                 0.6153,                0.51608,                0.48404,                0.24823,                 1.6207,                 1.1529,                0.96879,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.6694,                 1.2055,                0.97643,                0.87644,                0.42293,                  0.492,                0.26461,                 1.5166,                 1.1172,                0.95072,               0.001052,               0.001052,               0.001052
                     10,                 1.5952,                 1.1561,                0.96711,                0.36243,                0.55702,                0.51227,                0.27783,                   1.52,                 1.0801,                0.95163,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.5684,                 1.1131,                0.95621,                0.50354,                0.59598,                0.55838,                0.30346,                 1.5208,                 1.0661,                0.94821,              0.0010025,              0.0010025,              0.0010025
                     12,                 1.5788,                 1.1128,                 0.9533,                0.51953,                0.63326,                0.57653,                0.32055,                 1.4851,                  1.045,                0.94131,             0.00097775,             0.00097775,             0.00097775
                     13,                 1.5552,                 1.0818,                0.95639,                0.49697,                0.65906,                 0.6042,                0.34118,                 1.4657,                 1.0054,                0.93524,               0.000953,               0.000953,               0.000953
                     14,                 1.5098,                 1.0408,                0.94233,                0.54532,                0.68459,                0.63014,                0.36113,                 1.4633,                0.98327,                0.93502,             0.00092825,             0.00092825,             0.00092825
                     15,                 1.4985,                 1.0229,                0.94148,                0.53333,                 0.7136,                0.65036,                0.36795,                 1.4474,                0.95748,                  0.934,              0.0009035,              0.0009035,              0.0009035
                     16,                 1.4983,                  1.005,                0.94194,                0.59407,                0.70226,                0.66567,                0.38611,                 1.4299,                0.94652,                0.92927,             0.00087875,             0.00087875,             0.00087875
                     17,                 1.4809,                0.97023,                0.93587,                0.61451,                0.72883,                0.69721,                0.40717,                 1.4282,                 0.9273,                0.92715,               0.000854,               0.000854,               0.000854
                     18,                 1.4694,                0.96656,                0.93762,                0.65952,                0.75065,                0.72122,                 0.4148,                 1.4327,                0.94351,                0.92679,             0.00082925,             0.00082925,             0.00082925
                     19,                 1.4847,                0.96145,                0.93403,                0.66891,                 0.6676,                0.70196,                0.41204,                 1.4236,                0.90478,                0.92668,              0.0008045,              0.0008045,              0.0008045
                     20,                 1.4505,                 0.9254,                0.93026,                 0.6619,                0.73894,                0.74055,                0.43991,                 1.3838,                0.87495,                0.91805,             0.00077975,             0.00077975,             0.00077975
                     21,                 1.4322,                0.91026,                0.92434,                0.77995,                0.71363,                 0.7678,                0.44738,                 1.4149,                0.87147,                 0.9226,               0.000755,               0.000755,               0.000755
                     22,                 1.4118,                0.90335,                0.92126,                0.69975,                0.70532,                0.75238,                0.44035,                 1.3879,                0.86964,                0.91859,             0.00073025,             0.00073025,             0.00073025
                     23,                 1.4254,                0.90034,                0.92309,                0.78769,                0.73374,                0.77451,                0.46592,                 1.3879,                0.87526,                0.91732,              0.0007055,              0.0007055,              0.0007055
                     24,                 1.4096,                  0.877,                0.92019,                0.81889,                 0.7075,                0.78461,                  0.457,                 1.4064,                0.85996,                0.92344,             0.00068075,             0.00068075,             0.00068075
                     25,                 1.3788,                0.84873,                0.91452,                0.70111,                0.77282,                0.77813,                0.46126,                 1.3798,                0.84791,                0.91638,               0.000656,               0.000656,               0.000656
                     26,                  1.369,                0.84029,                0.90928,                0.73338,                0.75899,                0.78862,                0.47819,                 1.3401,                0.81322,                 0.9093,             0.00063125,             0.00063125,             0.00063125
                     27,                 1.3547,                0.83173,                0.91172,                0.78773,                0.74497,                0.80194,                0.48275,                 1.3611,                0.81631,                0.91381,              0.0006065,              0.0006065,              0.0006065
                     28,                 1.3545,                0.82644,                0.90595,                0.76677,                0.75674,                0.79356,                0.46283,                 1.3827,                0.82475,                 0.9193,             0.00058175,             0.00058175,             0.00058175
                     29,                 1.3367,                 0.8108,                0.90852,                0.81739,                0.69299,                0.79841,                0.48352,                 1.3359,                0.79488,                0.91145,               0.000557,               0.000557,               0.000557
                     30,                 1.3337,                0.80648,                0.90804,                0.85796,                0.72471,                0.82633,                0.50284,                  1.334,                0.77953,                0.91014,             0.00053225,             0.00053225,             0.00053225
                     31,                 1.3226,                0.78157,                0.90251,                0.86832,                 0.7168,                0.83418,                  0.516,                 1.3245,                0.77062,                0.90576,              0.0005075,              0.0005075,              0.0005075
                     32,                 1.3205,                0.78346,                0.90654,                0.84888,                 0.7373,                0.82566,                0.50962,                  1.308,                0.76212,                0.90221,             0.00048275,             0.00048275,             0.00048275
                     33,                 1.2893,                0.76054,                0.89691,                0.85352,                0.76888,                0.84584,                0.52717,                 1.3063,                0.74097,                 0.9037,               0.000458,               0.000458,               0.000458
                     34,                 1.2817,                0.74903,                0.90031,                0.84107,                0.80572,                0.85319,                0.53251,                 1.2792,                 0.7356,                0.89889,             0.00043325,             0.00043325,             0.00043325
                     35,                 1.2707,                0.74635,                0.89294,                0.83935,                0.77611,                0.84923,                0.52918,                  1.287,                0.72972,                0.90068,              0.0004085,              0.0004085,              0.0004085
                     36,                 1.2565,                 0.7339,                 0.8947,                0.84275,                0.76956,                 0.8532,                0.53026,                 1.2775,                0.74144,                0.89691,             0.00038375,             0.00038375,             0.00038375
                     37,                 1.2487,                0.72395,                0.89086,                0.87638,                0.77542,                0.86258,                0.54494,                 1.2595,                0.71987,                0.89439,               0.000359,               0.000359,               0.000359
                     38,                  1.252,                0.72963,                0.88617,                0.85803,                0.79303,                0.86293,                0.54347,                 1.2575,                0.71847,                0.89499,             0.00033425,             0.00033425,             0.00033425
                     39,                 1.2404,                0.71327,                0.88823,                0.84244,                0.80631,                0.86123,                0.54977,                 1.2489,                0.70913,                0.89182,              0.0003095,              0.0003095,              0.0003095
                     40,                 1.2326,                0.70535,                0.89144,                0.87436,                0.79411,                0.86331,                 0.5562,                 1.2449,                0.70762,                0.89252,             0.00028475,             0.00028475,             0.00028475
                     41,                  1.203,                0.68168,                0.89533,                 0.8473,                0.81611,                0.86373,                0.53771,                  1.266,                0.72127,                0.89472,                0.00026,                0.00026,                0.00026
                     42,                  1.182,                0.66425,                0.89076,                0.81664,                0.82115,                0.86279,                0.53955,                 1.2657,                0.73481,                0.89512,             0.00023525,             0.00023525,             0.00023525
                     43,                 1.1683,                0.65733,                 0.8859,                 0.8076,                0.84427,                0.86817,                0.54459,                 1.2511,                0.71058,                 0.8933,              0.0002105,              0.0002105,              0.0002105
                     44,                 1.1527,                 0.6467,                 0.8851,                0.85358,                0.83295,                0.87963,                0.55972,                 1.2275,                0.69732,                0.89007,             0.00018575,             0.00018575,             0.00018575
                     45,                 1.1341,                0.63075,                0.88051,                0.88951,                0.81924,                0.88191,                0.55846,                 1.2163,                0.68093,                0.88852,               0.000161,               0.000161,               0.000161
                     46,                 1.1209,                0.61999,                0.88102,                0.87759,                0.83296,                0.88262,                0.56307,                  1.213,                0.68191,                0.88684,             0.00013625,             0.00013625,             0.00013625
                     47,                 1.1076,                0.61587,                0.87819,                0.89364,                0.81836,                0.88563,                0.56963,                 1.2057,                0.67965,                0.88584,              0.0001115,              0.0001115,              0.0001115
                     48,                 1.1127,                0.61855,                0.87456,                0.86371,                0.83494,                0.88699,                0.57754,                 1.2025,                0.66757,                0.88473,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                  1.097,                0.61177,                0.87057,                0.84313,                0.84629,                0.88817,                0.57097,                 1.1969,                0.66529,                0.88502,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                 1.0998,                0.60789,                0.87504,                0.84524,                 0.8502,                0.88982,                0.58041,                 1.1911,                0.66343,                0.88369,              3.725e-05,              3.725e-05,              3.725e-05
